S.No,Team Size,Release Frequency,Compliance,Scalability,Project Size,Project Length,Security Level,Recommended Tools
176,Medium,Daily,Medium,Auto-scaling,Large,Medium,None,"CircleCI, GitHub, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, JFrog Artifactory"
177,Small,Daily,High,None,Small,Short,Strict,"Jenkins, GitHub, Docker, Prometheus, None, HashiCorp Vault, Terraform, Nexus Repository"
178,Medium,Weekly,High,Manual,Large,Short,Strict,"CircleCI, GitLab, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Terraform, JFrog Artifactory"
179,Medium,Weekly,Medium,Manual,Medium,Long,Moderate,"CircleCI, GitLab, Docker, Grafana, Docker Swarm, SonarQube, Ansible, Nexus Repository"
180,Small,Monthly,High,Manual,Small,Short,Strict,"Jenkins, Bitbucket, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Terraform, Nexus Repository"
181,Medium,Monthly,Medium,Manual,Large,Medium,Strict,"CircleCI, Bitbucket, Docker, Grafana, Docker Swarm, HashiCorp Vault, Ansible, JFrog Artifactory"
182,Medium,Weekly,Medium,Auto-scaling,Medium,Short,Moderate,"CircleCI, GitLab, Docker, Grafana, Kubernetes, SonarQube, Terraform, Nexus Repository"
183,Small,Daily,High,Manual,Small,Short,Moderate,"Jenkins, GitHub, Docker, Prometheus, Docker Swarm, SonarQube, Terraform, Nexus Repository"
184,Medium,Daily,Low,Auto-scaling,Large,Long,Moderate,"CircleCI, GitHub, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, JFrog Artifactory"
185,Small,Monthly,Low,Auto-scaling,Medium,Medium,Moderate,"Jenkins, Bitbucket, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, Nexus Repository"
186,Small,Monthly,Medium,None,Large,Medium,Strict,"Jenkins, Bitbucket, Docker, Grafana, None, HashiCorp Vault, Ansible, JFrog Artifactory"
187,Medium,Weekly,High,Manual,Small,Medium,Moderate,"CircleCI, GitLab, Docker, Prometheus, Docker Swarm, SonarQube, Ansible, Nexus Repository"
188,Small,Daily,Low,None,Medium,Long,Moderate,"Jenkins, GitHub, Docker, ELK Stack, None, SonarQube, Ansible, Nexus Repository"
189,Large,Monthly,High,Manual,Large,Long,None,"Travis CI, Bitbucket, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
190,Small,Daily,High,Auto-scaling,Small,Short,Strict,"Jenkins, GitHub, Docker, Prometheus, Kubernetes, HashiCorp Vault, Terraform, Nexus Repository"
191,Large,Daily,Low,Manual,Large,Short,Strict,"Travis CI, GitHub, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Terraform, JFrog Artifactory"
192,Small,Monthly,High,Auto-scaling,Medium,Medium,None,"Jenkins, Bitbucket, Docker, Prometheus, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
193,Large,Weekly,Medium,Manual,Large,Short,Moderate,"Travis CI, GitLab, Docker, Grafana, Docker Swarm, SonarQube, Terraform, JFrog Artifactory"
194,Large,Daily,Medium,None,Medium,Long,Strict,"Travis CI, GitHub, Docker, Grafana, None, HashiCorp Vault, Ansible, Nexus Repository"
195,Large,Weekly,Medium,None,Large,Long,Moderate,"Travis CI, GitLab, Docker, Grafana, None, SonarQube, Ansible, JFrog Artifactory"
196,Medium,Weekly,Low,Manual,Large,Long,None,"CircleCI, GitLab, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
197,Large,Daily,Medium,Auto-scaling,Medium,Long,None,"Travis CI, GitHub, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
198,Medium,Daily,Low,Auto-scaling,Medium,Short,None,"CircleCI, GitHub, Docker, ELK Stack, Kubernetes, OWASP ZAP, Terraform, Nexus Repository"
199,Small,Weekly,Medium,None,Medium,Long,Moderate,"Jenkins, GitLab, Docker, Grafana, None, SonarQube, Ansible, Nexus Repository"
200,Small,Monthly,High,None,Large,Short,Strict,"Jenkins, Bitbucket, Docker, Prometheus, None, HashiCorp Vault, Terraform, JFrog Artifactory"
201,Large,Daily,Low,None,Small,Short,Moderate,"Travis CI, GitHub, Docker, ELK Stack, None, SonarQube, Terraform, Nexus Repository"
202,Medium,Daily,Low,Manual,Medium,Long,Strict,"CircleCI, GitHub, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
203,Large,Daily,Low,None,Medium,Short,Moderate,"Travis CI, GitHub, Docker, ELK Stack, None, SonarQube, Terraform, Nexus Repository"
204,Large,Daily,Low,None,Small,Medium,Strict,"Travis CI, GitHub, Docker, ELK Stack, None, HashiCorp Vault, Ansible, Nexus Repository"
205,Small,Daily,High,None,Medium,Short,None,"Jenkins, GitHub, Docker, Prometheus, None, OWASP ZAP, Terraform, Nexus Repository"
206,Small,Daily,Low,None,Small,Short,Moderate,"Jenkins, GitHub, Docker, ELK Stack, None, SonarQube, Terraform, Nexus Repository"
207,Small,Monthly,Medium,Manual,Large,Short,None,"Jenkins, Bitbucket, Docker, Grafana, Docker Swarm, OWASP ZAP, Terraform, JFrog Artifactory"
208,Large,Monthly,Low,Auto-scaling,Large,Medium,Strict,"Travis CI, Bitbucket, Docker, ELK Stack, Kubernetes, HashiCorp Vault, Ansible, JFrog Artifactory"
209,Medium,Daily,Low,Manual,Large,Short,Moderate,"CircleCI, GitHub, Docker, ELK Stack, Docker Swarm, SonarQube, Terraform, JFrog Artifactory"
210,Medium,Monthly,Medium,Manual,Medium,Short,Strict,"CircleCI, Bitbucket, Docker, Grafana, Docker Swarm, HashiCorp Vault, Terraform, Nexus Repository"
211,Medium,Weekly,Low,None,Medium,Short,Moderate,"CircleCI, GitLab, Docker, ELK Stack, None, SonarQube, Terraform, Nexus Repository"
212,Large,Monthly,Low,None,Large,Medium,Strict,"Travis CI, Bitbucket, Docker, ELK Stack, None, HashiCorp Vault, Ansible, JFrog Artifactory"
213,Small,Weekly,Medium,Manual,Medium,Long,Strict,"Jenkins, GitLab, Docker, Grafana, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
214,Small,Monthly,High,Auto-scaling,Large,Short,Strict,"Jenkins, Bitbucket, Docker, Prometheus, Kubernetes, HashiCorp Vault, Terraform, JFrog Artifactory"
215,Large,Monthly,Medium,Auto-scaling,Medium,Long,Moderate,"Travis CI, Bitbucket, Docker, Grafana, Kubernetes, SonarQube, Ansible, Nexus Repository"
216,Medium,Monthly,High,Manual,Medium,Short,Strict,"CircleCI, Bitbucket, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Terraform, Nexus Repository"
217,Medium,Daily,Medium,Manual,Large,Long,Moderate,"CircleCI, GitHub, Docker, Grafana, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
218,Small,Weekly,Low,None,Large,Short,None,"Jenkins, GitLab, Docker, ELK Stack, None, OWASP ZAP, Terraform, JFrog Artifactory"
219,Medium,Monthly,Medium,None,Small,Short,Strict,"CircleCI, Bitbucket, Docker, Grafana, None, HashiCorp Vault, Terraform, Nexus Repository"
220,Large,Monthly,Medium,Manual,Medium,Short,Moderate,"Travis CI, Bitbucket, Docker, Grafana, Docker Swarm, SonarQube, Terraform, Nexus Repository"
221,Medium,Weekly,High,None,Large,Short,None,"CircleCI, GitLab, Docker, Prometheus, None, OWASP ZAP, Terraform, JFrog Artifactory"
222,Small,Weekly,Medium,Manual,Large,Long,Strict,"Jenkins, GitLab, Docker, Grafana, Docker Swarm, HashiCorp Vault, Ansible, JFrog Artifactory"
223,Large,Monthly,High,Manual,Small,Long,None,"Travis CI, Bitbucket, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
224,Medium,Weekly,Medium,Auto-scaling,Medium,Short,None,"CircleCI, GitLab, Docker, Grafana, Kubernetes, OWASP ZAP, Terraform, Nexus Repository"
225,Small,Weekly,High,Manual,Medium,Medium,Strict,"Jenkins, GitLab, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
226,Large,Monthly,Low,Manual,Small,Short,Strict,"Travis CI, Bitbucket, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Terraform, Nexus Repository"
227,Medium,Weekly,High,None,Medium,Short,Strict,"CircleCI, GitLab, Docker, Prometheus, None, HashiCorp Vault, Terraform, Nexus Repository"
228,Medium,Weekly,Low,Manual,Medium,Long,Moderate,"CircleCI, GitLab, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, Nexus Repository"
229,Medium,Daily,High,Manual,Medium,Medium,None,"CircleCI, GitHub, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
230,Medium,Monthly,Low,Manual,Medium,Medium,None,"CircleCI, Bitbucket, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
231,Medium,Daily,Low,None,Large,Long,None,"CircleCI, GitHub, Docker, ELK Stack, None, OWASP ZAP, Ansible, JFrog Artifactory"
232,Large,Daily,High,Manual,Small,Long,Strict,"Travis CI, GitHub, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
233,Small,Monthly,High,Auto-scaling,Medium,Short,Moderate,"Jenkins, Bitbucket, Docker, Prometheus, Kubernetes, SonarQube, Terraform, Nexus Repository"
234,Medium,Weekly,Low,Manual,Small,Long,None,"CircleCI, GitLab, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
235,Large,Weekly,Medium,Manual,Medium,Medium,None,"Travis CI, GitLab, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
236,Small,Weekly,Low,Manual,Medium,Medium,Strict,"Jenkins, GitLab, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
237,Large,Daily,Low,Auto-scaling,Large,Medium,None,"Travis CI, GitHub, Docker, ELK Stack, Kubernetes, OWASP ZAP, Ansible, JFrog Artifactory"
238,Medium,Weekly,Medium,Auto-scaling,Medium,Medium,Strict,"CircleCI, GitLab, Docker, Grafana, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
239,Small,Daily,High,Manual,Medium,Medium,Strict,"Jenkins, GitHub, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
240,Large,Monthly,Low,Auto-scaling,Small,Short,Moderate,"Travis CI, Bitbucket, Docker, ELK Stack, Kubernetes, SonarQube, Terraform, Nexus Repository"
241,Medium,Daily,Medium,Auto-scaling,Medium,Short,None,"CircleCI, GitHub, Docker, Grafana, Kubernetes, OWASP ZAP, Terraform, Nexus Repository"
242,Small,Weekly,Medium,Manual,Large,Medium,None,"Jenkins, GitLab, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
243,Small,Daily,High,Manual,Medium,Long,None,"Jenkins, GitHub, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
244,Medium,Monthly,Medium,None,Medium,Short,Strict,"CircleCI, Bitbucket, Docker, Grafana, None, HashiCorp Vault, Terraform, Nexus Repository"
245,Small,Daily,Low,Auto-scaling,Medium,Medium,Moderate,"Jenkins, GitHub, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, Nexus Repository"
246,Medium,Daily,High,None,Medium,Short,Moderate,"CircleCI, GitHub, Docker, Prometheus, None, SonarQube, Terraform, Nexus Repository"
247,Large,Daily,Low,Manual,Medium,Medium,None,"Travis CI, GitHub, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
248,Medium,Weekly,Medium,Manual,Large,Long,Strict,"CircleCI, GitLab, Docker, Grafana, Docker Swarm, HashiCorp Vault, Ansible, JFrog Artifactory"
249,Small,Daily,Medium,Auto-scaling,Large,Short,None,"Jenkins, GitHub, Docker, Grafana, Kubernetes, OWASP ZAP, Terraform, JFrog Artifactory"
250,Large,Weekly,Low,Manual,Medium,Long,None,"Travis CI, GitLab, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
251,Large,Daily,High,None,Small,Long,Strict,"Travis CI, GitHub, Docker, Prometheus, None, HashiCorp Vault, Ansible, Nexus Repository"
252,Medium,Weekly,High,Manual,Large,Long,None,"CircleCI, GitLab, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
253,Large,Weekly,Medium,Manual,Small,Medium,None,"Travis CI, GitLab, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
254,Small,Weekly,High,Manual,Small,Medium,None,"Jenkins, GitLab, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
255,Large,Weekly,High,Manual,Small,Long,None,"Travis CI, GitLab, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
256,Small,Monthly,High,Manual,Large,Short,Strict,"Jenkins, Bitbucket, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Terraform, JFrog Artifactory"
257,Medium,Weekly,Medium,Manual,Small,Short,Moderate,"CircleCI, GitLab, Docker, Grafana, Docker Swarm, SonarQube, Terraform, Nexus Repository"
258,Large,Monthly,High,Manual,Medium,Long,None,"Travis CI, Bitbucket, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
259,Large,Daily,Medium,Auto-scaling,Large,Short,None,"Travis CI, GitHub, Docker, Grafana, Kubernetes, OWASP ZAP, Terraform, JFrog Artifactory"
260,Small,Monthly,Low,None,Medium,Short,Strict,"Jenkins, Bitbucket, Docker, ELK Stack, None, HashiCorp Vault, Terraform, Nexus Repository"
261,Medium,Daily,Low,Auto-scaling,Medium,Long,Moderate,"CircleCI, GitHub, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, Nexus Repository"
262,Medium,Weekly,High,None,Large,Medium,None,"CircleCI, GitLab, Docker, Prometheus, None, OWASP ZAP, Ansible, JFrog Artifactory"
263,Medium,Weekly,High,None,Small,Short,None,"CircleCI, GitLab, Docker, Prometheus, None, OWASP ZAP, Terraform, Nexus Repository"
264,Medium,Monthly,Medium,Auto-scaling,Small,Long,None,"CircleCI, Bitbucket, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
265,Small,Daily,High,Manual,Small,Short,Moderate,"Jenkins, GitHub, Docker, Prometheus, Docker Swarm, SonarQube, Terraform, Nexus Repository"
266,Medium,Daily,Low,Auto-scaling,Medium,Long,None,"CircleCI, GitHub, Docker, ELK Stack, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
267,Small,Monthly,High,Auto-scaling,Medium,Medium,Strict,"Jenkins, Bitbucket, Docker, Prometheus, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
268,Medium,Daily,Low,None,Medium,Long,None,"CircleCI, GitHub, Docker, ELK Stack, None, OWASP ZAP, Ansible, Nexus Repository"
269,Small,Weekly,Medium,None,Medium,Medium,Strict,"Jenkins, GitLab, Docker, Grafana, None, HashiCorp Vault, Ansible, Nexus Repository"
270,Small,Weekly,Low,Manual,Small,Long,None,"Jenkins, GitLab, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
271,Medium,Daily,Low,None,Medium,Short,None,"CircleCI, GitHub, Docker, ELK Stack, None, OWASP ZAP, Terraform, Nexus Repository"
272,Large,Monthly,High,Manual,Small,Long,Strict,"Travis CI, Bitbucket, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
273,Large,Weekly,Low,None,Medium,Long,Moderate,"Travis CI, GitLab, Docker, ELK Stack, None, SonarQube, Ansible, Nexus Repository"
274,Medium,Daily,High,Auto-scaling,Medium,Short,None,"CircleCI, GitHub, Docker, Prometheus, Kubernetes, OWASP ZAP, Terraform, Nexus Repository"
275,Small,Monthly,Low,Manual,Small,Medium,Strict,"Jenkins, Bitbucket, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
276,Large,Weekly,Medium,None,Large,Short,Moderate,"Travis CI, GitLab, Docker, Grafana, None, SonarQube, Terraform, JFrog Artifactory"
277,Small,Daily,Medium,Auto-scaling,Small,Medium,Strict,"Jenkins, GitHub, Docker, Grafana, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
278,Large,Monthly,Low,Manual,Medium,Long,None,"Travis CI, Bitbucket, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
279,Medium,Monthly,Medium,Auto-scaling,Medium,Medium,None,"CircleCI, Bitbucket, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
280,Small,Daily,High,Manual,Medium,Medium,Moderate,"Jenkins, GitHub, Docker, Prometheus, Docker Swarm, SonarQube, Ansible, Nexus Repository"
281,Medium,Weekly,Low,Manual,Large,Medium,Strict,"CircleCI, GitLab, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, JFrog Artifactory"
282,Medium,Daily,Low,None,Small,Short,None,"CircleCI, GitHub, Docker, ELK Stack, None, OWASP ZAP, Terraform, Nexus Repository"
283,Small,Weekly,Low,Auto-scaling,Small,Short,Moderate,"Jenkins, GitLab, Docker, ELK Stack, Kubernetes, SonarQube, Terraform, Nexus Repository"
284,Large,Daily,Medium,Manual,Small,Long,Strict,"Travis CI, GitHub, Docker, Grafana, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
285,Medium,Monthly,Low,Manual,Large,Long,Strict,"CircleCI, Bitbucket, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, JFrog Artifactory"
286,Medium,Daily,High,Auto-scaling,Medium,Long,Strict,"CircleCI, GitHub, Docker, Prometheus, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
287,Medium,Daily,Low,Manual,Large,Medium,Moderate,"CircleCI, GitHub, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
288,Small,Monthly,Medium,Manual,Small,Short,None,"Jenkins, Bitbucket, Docker, Grafana, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
289,Large,Weekly,High,Auto-scaling,Medium,Short,Moderate,"Travis CI, GitLab, Docker, Prometheus, Kubernetes, SonarQube, Terraform, Nexus Repository"
290,Medium,Weekly,High,Auto-scaling,Large,Medium,Strict,"CircleCI, GitLab, Docker, Prometheus, Kubernetes, HashiCorp Vault, Ansible, JFrog Artifactory"
291,Small,Daily,Low,None,Medium,Medium,Strict,"Jenkins, GitHub, Docker, ELK Stack, None, HashiCorp Vault, Ansible, Nexus Repository"
292,Large,Daily,High,Auto-scaling,Large,Long,Moderate,"Travis CI, GitHub, Docker, Prometheus, Kubernetes, SonarQube, Ansible, JFrog Artifactory"
293,Small,Monthly,Medium,None,Small,Short,None,"Jenkins, Bitbucket, Docker, Grafana, None, OWASP ZAP, Terraform, Nexus Repository"
294,Large,Daily,Medium,None,Medium,Long,Strict,"Travis CI, GitHub, Docker, Grafana, None, HashiCorp Vault, Ansible, Nexus Repository"
295,Medium,Monthly,Low,Auto-scaling,Large,Medium,Strict,"CircleCI, Bitbucket, Docker, ELK Stack, Kubernetes, HashiCorp Vault, Ansible, JFrog Artifactory"
296,Small,Weekly,Low,None,Medium,Medium,Strict,"Jenkins, GitLab, Docker, ELK Stack, None, HashiCorp Vault, Ansible, Nexus Repository"
297,Medium,Weekly,Medium,Manual,Medium,Short,Moderate,"CircleCI, GitLab, Docker, Grafana, Docker Swarm, SonarQube, Terraform, Nexus Repository"
298,Large,Daily,High,None,Small,Long,None,"Travis CI, GitHub, Docker, Prometheus, None, OWASP ZAP, Ansible, Nexus Repository"
299,Small,Weekly,Medium,None,Small,Medium,Moderate,"Jenkins, GitLab, Docker, Grafana, None, SonarQube, Ansible, Nexus Repository"
300,Large,Daily,High,Auto-scaling,Large,Short,Strict,"Travis CI, GitHub, Docker, Prometheus, Kubernetes, HashiCorp Vault, Terraform, JFrog Artifactory"
301,Medium,Monthly,High,None,Large,Long,Strict,"CircleCI, Bitbucket, Docker, Prometheus, None, HashiCorp Vault, Ansible, JFrog Artifactory"
302,Large,Weekly,High,Manual,Large,Short,Strict,"Travis CI, GitLab, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Terraform, JFrog Artifactory"
303,Large,Monthly,Low,Auto-scaling,Small,Long,Moderate,"Travis CI, Bitbucket, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, Nexus Repository"
304,Medium,Daily,Low,Auto-scaling,Large,Long,Moderate,"CircleCI, GitHub, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, JFrog Artifactory"
305,Small,Weekly,High,Manual,Large,Medium,Strict,"Jenkins, GitLab, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, JFrog Artifactory"
306,Small,Daily,Low,None,Small,Short,Strict,"Jenkins, GitHub, Docker, ELK Stack, None, HashiCorp Vault, Terraform, Nexus Repository"
307,Medium,Weekly,High,None,Medium,Medium,Strict,"CircleCI, GitLab, Docker, Prometheus, None, HashiCorp Vault, Ansible, Nexus Repository"
308,Medium,Monthly,High,Manual,Large,Long,Moderate,"CircleCI, Bitbucket, Docker, Prometheus, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
309,Large,Weekly,High,Manual,Small,Long,Moderate,"Travis CI, GitLab, Docker, Prometheus, Docker Swarm, SonarQube, Ansible, Nexus Repository"
310,Medium,Daily,Low,Auto-scaling,Small,Long,Moderate,"CircleCI, GitHub, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, Nexus Repository"
311,Medium,Daily,High,Auto-scaling,Medium,Short,Moderate,"CircleCI, GitHub, Docker, Prometheus, Kubernetes, SonarQube, Terraform, Nexus Repository"
312,Small,Daily,Medium,None,Medium,Short,Moderate,"Jenkins, GitHub, Docker, Grafana, None, SonarQube, Terraform, Nexus Repository"
313,Small,Weekly,Low,Auto-scaling,Small,Short,Moderate,"Jenkins, GitLab, Docker, ELK Stack, Kubernetes, SonarQube, Terraform, Nexus Repository"
314,Large,Weekly,High,Manual,Small,Short,Moderate,"Travis CI, GitLab, Docker, Prometheus, Docker Swarm, SonarQube, Terraform, Nexus Repository"
315,Large,Daily,Low,Auto-scaling,Medium,Medium,None,"Travis CI, GitHub, Docker, ELK Stack, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
316,Medium,Monthly,High,Auto-scaling,Medium,Medium,Moderate,"CircleCI, Bitbucket, Docker, Prometheus, Kubernetes, SonarQube, Ansible, Nexus Repository"
317,Large,Daily,Low,Manual,Large,Long,Moderate,"Travis CI, GitHub, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
318,Medium,Monthly,High,None,Large,Long,Strict,"CircleCI, Bitbucket, Docker, Prometheus, None, HashiCorp Vault, Ansible, JFrog Artifactory"
319,Medium,Weekly,Medium,None,Medium,Long,Moderate,"CircleCI, GitLab, Docker, Grafana, None, SonarQube, Ansible, Nexus Repository"
320,Medium,Monthly,Medium,None,Small,Medium,Moderate,"CircleCI, Bitbucket, Docker, Grafana, None, SonarQube, Ansible, Nexus Repository"
321,Large,Weekly,Medium,Manual,Large,Medium,None,"Travis CI, GitLab, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
